clase,n,vertices_media,caras_media,t_total_media_ms,ocup32_pct_media,ocup64_pct_media
airplane,726,72715.0,82131.0,22.74,1.587,0.772
bathtub,156,8960.0,9381.0,7.11,4.436,2.078
bed,615,10944.0,12061.0,7.85,5.629,2.571
bench,193,6074.0,4768.0,5.96,3.452,1.748
bookshelf,672,14737.0,13013.0,7.45,6.113,2.812
bottle,435,6911.0,8399.0,6.32,2.515,1.233
bowl,84,3093.0,2300.0,5.71,8.381,3.329
car,297,86705.0,57324.0,16.95,5.016,2.423
chair,989,13037.0,12490.0,7.73,4.126,1.94
cone,187,1579.0,1519.0,5.05,4.375,1.897
cup,99,3447.0,2841.0,5.62,8.603,3.333
curtain,158,40501.0,54718.0,14.01,2.18,1.051
desk,286,6410.0,6728.0,6.25,5.561,2.685
door,129,4166.0,3423.0,5.35,2.767,1.441
dresser,286,9674.0,10844.0,6.79,10.083,3.815
flower_pot,169,23536.0,29216.0,9.97,6.586,2.583
glass_box,271,1559.0,1408.0,5.07,10.031,4.089
guitar,255,37778.0,39595.0,12.54,0.827,0.418
keyboard,165,27966.0,25152.0,9.58,2.331,1.294
lamp,144,7814.0,6926.0,5.66,2.442,1.13
laptop,169,10850.0,5607.0,6.05,5.431,2.642
mantel,384,28165.0,16107.0,8.09,6.776,3.087
monitor,565,4227.0,3943.0,5.09,4.92,2.323
night_stand,286,4867.0,5839.0,5.44,9.743,3.753
person,108,17576.0,14316.0,7.23,1.726,0.871
piano,331,17335.0,15323.0,7.3,5.868,2.557
plant,340,34489.0,33388.0,10.73,4.256,1.654
radio,124,15866.0,14857.0,6.94,4.84,2.18
range_hood,215,5862.0,4207.0,5.57,6.218,2.666
sink,148,9473.0,11880.0,6.59,4.771,2.184
sofa,780,12510.0,14239.0,6.99,6.182,2.765
stairs,144,26944.0,19372.0,8.17,3.718,1.732
stool,110,7448.0,5355.0,5.64,3.031,1.461
table,492,6647.0,6151.0,5.63,4.92,2.391
tent,183,17992.0,18588.0,7.88,4.967,2.165
toilet,444,9347.0,14111.0,7.24,7.091,3.013
tv_stand,367,4687.0,4776.0,5.16,7.282,3.17
vase,575,5644.0,8529.0,6.15,6.831,2.754
wardrobe,107,3119.0,2193.0,4.62,6.202,2.752
xbox,123,13894.0,11584.0,6.02,5.198,2.351
