epoca,train_loss,train_acc,val_loss,val_acc,lr,tiempo_s
1,2.641235,0.334688,1.949824,0.434959,0.001,78.92
2,1.878801,0.487075,1.710213,0.504065,0.001,55.73
3,1.635288,0.549611,1.234043,0.635163,0.001,52.23
4,1.463192,0.590134,1.439537,0.588415,0.001,50.1
5,1.386377,0.611017,1.320778,0.605691,0.001,54.39
6,1.307749,0.632803,1.215375,0.643293,0.001,50.98
7,1.227679,0.651767,1.280398,0.610772,0.001,53.24
8,1.168809,0.671069,1.045984,0.708333,0.001,51.51
9,1.127859,0.673101,0.949076,0.702236,0.001,53.46
10,1.091786,0.690258,1.105737,0.661585,0.001,51.89
11,1.064832,0.691952,0.953661,0.704268,0.001,52.89
12,1.021148,0.704707,0.947358,0.715447,0.001,54.41
13,0.973359,0.719043,0.906898,0.720528,0.001,50.71
14,0.973354,0.720059,1.025308,0.695122,0.001,52.27
15,0.942065,0.724348,0.868649,0.73374,0.001,61.22
16,0.90769,0.733717,1.096153,0.695122,0.001,50.27
17,0.897606,0.735072,0.923066,0.724593,0.001,69.83
18,0.840887,0.748166,0.991337,0.71748,0.001,74.36
19,0.860672,0.742296,0.841298,0.747967,0.001,65.75
20,0.812142,0.757309,0.823018,0.751016,0.0007,72.28
21,0.707483,0.786658,0.720334,0.779472,0.0007,71.0
22,0.671009,0.796365,0.772353,0.767276,0.0007,72.01
23,0.663825,0.79772,0.752047,0.777439,0.0007,68.87
24,0.650269,0.801445,0.777073,0.761179,0.0007,72.81
25,0.636414,0.806412,0.742897,0.776423,0.0007,71.87
26,0.624847,0.810024,0.709171,0.783537,0.0007,72.15
27,0.62435,0.806412,0.680202,0.79065,0.0007,70.96
28,0.600271,0.813974,0.720655,0.765244,0.0007,71.63
29,0.586492,0.820747,0.766795,0.784553,0.0007,70.33
30,0.581462,0.820183,0.868615,0.75813,0.0007,68.74
31,0.564085,0.822666,0.763382,0.784553,0.0007,73.16
32,0.544364,0.830455,0.704404,0.78252,0.0007,67.16
33,0.550312,0.828197,0.896102,0.74187,0.0007,70.9
34,0.528036,0.836889,0.810648,0.763211,0.0007,73.47
35,0.515411,0.839485,0.773051,0.777439,0.0007,71.17
36,0.521793,0.838018,0.812627,0.770325,0.0007,68.07
37,0.53023,0.839711,0.815157,0.770325,0.0007,64.79
38,0.518252,0.838808,0.733038,0.788618,0.0007,66.81
39,0.490302,0.844339,0.751271,0.787602,0.0007,72.6
40,0.485081,0.850886,0.802192,0.76626,0.00049,68.71
41,0.400613,0.871317,0.709321,0.79065,0.00049,71.44
42,0.378893,0.874252,0.714194,0.797764,0.00049,71.06
43,0.371052,0.883621,0.728019,0.799797,0.00049,71.58
44,0.360642,0.884976,0.760996,0.78252,0.00049,69.5
45,0.374955,0.877977,0.744645,0.811992,0.00049,68.76
46,0.341628,0.891974,0.823991,0.77439,0.00049,69.66
47,0.354395,0.889265,0.712556,0.799797,0.00049,69.58
48,0.346444,0.88396,0.739155,0.801829,0.00049,67.6
49,0.331403,0.894006,0.804779,0.788618,0.00049,69.35
50,0.33644,0.892877,0.839282,0.799797,0.00049,68.34
51,0.32862,0.895022,0.729272,0.802846,0.00049,70.88
52,0.323104,0.896151,0.777044,0.791667,0.00049,72.57
53,0.340799,0.891636,0.729656,0.793699,0.00049,70.27
54,0.321519,0.896828,0.772011,0.789634,0.00049,68.01
55,0.328145,0.897618,0.800732,0.780488,0.00049,68.33
56,0.302823,0.902811,0.799816,0.793699,0.00049,70.93
57,0.304471,0.903375,0.79703,0.811992,0.00049,72.66
58,0.290345,0.906874,0.798053,0.795732,0.00049,68.35
59,0.30127,0.906874,0.873933,0.773374,0.00049,68.66
60,0.293944,0.906423,0.841375,0.796748,0.000343,68.31
61,0.233142,0.923581,0.767207,0.805894,0.000343,70.59
62,0.224713,0.928547,0.778166,0.799797,0.000343,67.07
63,0.212252,0.931369,0.82537,0.796748,0.000343,71.63
64,0.219014,0.92787,0.82931,0.801829,0.000343,72.62
65,0.193466,0.936787,0.854941,0.796748,0.000343,71.64
66,0.198861,0.937916,0.788685,0.807927,0.000343,75.17
67,0.197998,0.936449,0.912204,0.783537,0.000343,73.26
68,0.194601,0.93769,0.869412,0.791667,0.000343,66.08
69,0.213855,0.931595,0.840338,0.816057,0.000343,52.01
70,0.196012,0.935659,0.913018,0.791667,0.000343,69.39
71,0.195033,0.937013,0.950904,0.786585,0.000343,73.15
72,0.201706,0.932047,0.913201,0.78252,0.000343,74.35
73,0.187236,0.939609,0.948331,0.795732,0.000343,73.68
74,0.199043,0.933627,0.910725,0.806911,0.000343,73.3
75,0.190137,0.937803,0.889232,0.794715,0.000343,72.28
76,0.18259,0.943109,0.936162,0.776423,0.000343,73.09
77,0.190004,0.940738,0.946563,0.793699,0.000343,73.51
78,0.181604,0.941754,0.916131,0.79878,0.000343,71.77
79,0.184878,0.939384,0.883404,0.791667,0.000343,69.15
80,0.18662,0.939948,0.812415,0.807927,0.0002401,68.51
81,0.139256,0.954284,0.821515,0.819106,0.0002401,71.3
82,0.123093,0.960718,0.875222,0.820122,0.0002401,68.37
83,0.118969,0.961508,0.939007,0.803862,0.0002401,68.94
84,0.132754,0.957557,0.963943,0.795732,0.0002401,70.9
85,0.136971,0.956993,0.937583,0.804878,0.0002401,69.52
86,0.126108,0.957896,0.889325,0.805894,0.0002401,71.64
87,0.125567,0.958912,0.936096,0.801829,0.0002401,70.74
88,0.122394,0.96275,0.96568,0.801829,0.0002401,70.58
89,0.135916,0.9553,0.94356,0.811992,0.0002401,69.2
90,0.111211,0.965797,0.929238,0.813008,0.0002401,69.29
91,0.110306,0.965346,0.91893,0.801829,0.0002401,71.77
92,0.113535,0.96433,0.941718,0.808943,0.0002401,71.02
93,0.125719,0.959363,0.956438,0.808943,0.0002401,71.14
94,0.119146,0.962072,0.923516,0.809959,0.0002401,71.77
95,0.125937,0.960041,0.957858,0.794715,0.0002401,73.16
96,0.123541,0.960718,0.883446,0.810976,0.0002401,70.24
97,0.109352,0.963766,0.966134,0.800813,0.0002401,71.12
98,0.113767,0.964104,0.926531,0.811992,0.0002401,69.69
99,0.108136,0.966588,0.955185,0.795732,0.0002401,70.07
100,0.109686,0.966475,0.937156,0.803862,0.00016807,70.84
101,0.088669,0.973022,0.889696,0.813008,0.00016807,68.91
102,0.07851,0.977085,0.93726,0.813008,0.00016807,70.56
103,0.087042,0.971893,0.970388,0.806911,0.00016807,70.6
104,0.080591,0.976295,0.947974,0.817073,0.00016807,68.73
105,0.077261,0.976295,0.954013,0.807927,0.00016807,69.86
106,0.085254,0.974602,0.925284,0.819106,0.00016807,71.62
107,0.072518,0.978779,1.017148,0.808943,0.00016807,70.73
108,0.067205,0.980698,0.931742,0.813008,0.00016807,69.55
109,0.076856,0.977424,0.958619,0.805894,0.00016807,70.35
110,0.076773,0.977424,0.991745,0.820122,0.00016807,69.35
111,0.075549,0.97686,1.025517,0.799797,0.00016807,71.94
112,0.072778,0.977876,0.986663,0.808943,0.00016807,70.16
113,0.067832,0.980585,0.934532,0.795732,0.00016807,69.82
114,0.072801,0.977988,1.078339,0.787602,0.00016807,71.12
115,0.081557,0.975618,0.988842,0.802846,0.00016807,67.21
116,0.078378,0.976973,1.002265,0.802846,0.00016807,70.26
117,0.071368,0.978779,0.945674,0.811992,0.00016807,69.53
118,0.065798,0.980133,1.027299,0.803862,0.00016807,70.36
119,0.072009,0.977537,1.096258,0.791667,0.00016807,70.25
120,0.075336,0.97607,1.091797,0.796748,0.00011765,69.0
121,0.057939,0.983181,1.032671,0.803862,0.00011765,71.03
122,0.052256,0.985439,1.023741,0.807927,0.00011765,69.54
123,0.042727,0.988035,1.05832,0.808943,0.00011765,70.87
124,0.051041,0.985664,1.063053,0.795732,0.00011765,69.2
125,0.048178,0.985213,1.02127,0.808943,0.00011765,69.75
126,0.045996,0.98668,1.075838,0.792683,0.00011765,71.78
127,0.049119,0.984874,0.976235,0.815041,0.00011765,73.62
128,0.051085,0.984536,1.028266,0.805894,0.00011765,73.24
129,0.050204,0.985664,1.036433,0.809959,0.00011765,71.39
130,0.04902,0.986116,1.028514,0.807927,0.00011765,73.61
131,0.048761,0.986003,0.986037,0.814024,0.00011765,72.03
132,0.04881,0.986116,0.98171,0.820122,0.00011765,69.59
133,0.049684,0.985664,1.035194,0.809959,0.00011765,70.77
134,0.052499,0.98431,1.019299,0.818089,0.00011765,68.1
