epoca,train_loss,train_iou,val_loss,val_iou,lr,tiempo_s
1,0.450871,0.606073,0.929088,0.400295,0.001,48.26
2,0.405437,0.645149,1.413328,0.344174,0.001,32.01
3,0.38448,0.663221,1.818955,0.352929,0.001,32.0
4,0.370487,0.676186,1.95263,0.267093,0.001,31.99
5,0.358573,0.686362,1.406379,0.299323,0.001,32.04
6,0.347991,0.695565,1.612651,0.392991,0.001,32.0
7,0.340204,0.702526,1.748875,0.327513,0.001,32.03
8,0.330221,0.711685,2.441821,0.39652,0.001,34.31
9,0.322071,0.717568,1.326527,0.418114,0.001,31.98
10,0.312785,0.726396,0.961452,0.406917,0.001,31.98
11,0.30672,0.731869,2.044161,0.326475,0.001,31.97
12,0.29661,0.740328,1.34878,0.400759,0.001,31.99
13,0.291216,0.746631,1.584987,0.392863,0.001,31.96
14,0.282046,0.75364,1.27018,0.390613,0.001,31.94
15,0.276959,0.758348,1.223621,0.379037,0.001,31.97
16,0.270178,0.765043,1.786817,0.32669,0.001,31.98
17,0.264297,0.770377,1.620475,0.284302,0.001,31.99
18,0.255442,0.777462,1.605453,0.345044,0.001,31.93
19,0.252854,0.780849,0.923689,0.354845,0.001,31.93
20,0.24809,0.785474,0.766125,0.471648,0.0007,31.99
21,0.230605,0.801018,1.673083,0.412825,0.0007,32.04
22,0.220359,0.810604,1.661955,0.470124,0.0007,31.94
23,0.216158,0.814314,1.329465,0.423881,0.0007,31.95
24,0.212298,0.81805,0.864441,0.445224,0.0007,31.97
25,0.208348,0.822044,1.650357,0.409768,0.0007,31.94
26,0.204935,0.82547,2.413264,0.391935,0.0007,31.95
27,0.204897,0.826038,1.559887,0.42756,0.0007,31.95
28,0.198787,0.831788,2.402944,0.444382,0.0007,31.97
29,0.19666,0.8344,1.508325,0.45785,0.0007,31.95
30,0.190391,0.840817,0.704515,0.569154,0.0007,31.96
31,0.189143,0.841449,1.674682,0.32811,0.0007,31.98
32,0.185386,0.845121,2.249345,0.447836,0.0007,31.95
33,0.18638,0.844193,2.360254,0.403147,0.0007,31.95
34,0.184362,0.84693,0.623442,0.609155,0.0007,31.93
35,0.178599,0.852302,2.68006,0.404315,0.0007,31.96
36,0.177107,0.85355,1.910405,0.417421,0.0007,31.97
37,0.176979,0.854574,1.588819,0.457695,0.0007,31.94
38,0.17451,0.856242,0.915925,0.46222,0.0007,31.96
39,0.171954,0.859299,1.821528,0.439506,0.0007,31.94
40,0.172047,0.858926,2.176306,0.388049,0.00049,33.75
41,0.16272,0.868897,1.746833,0.460009,0.00049,31.93
42,0.154402,0.876211,1.529356,0.468901,0.00049,31.95
43,0.152439,0.877941,1.528611,0.475257,0.00049,31.98
44,0.15078,0.879929,1.568496,0.459193,0.00049,31.93
45,0.149391,0.880858,0.699101,0.639088,0.00049,32.81
46,0.147472,0.883116,1.747574,0.454439,0.00049,33.48
47,0.146711,0.88402,1.369631,0.467948,0.00049,31.98
48,0.147034,0.883931,1.039207,0.537069,0.00049,31.91
49,0.14608,0.884924,1.826583,0.489974,0.00049,31.98
50,0.145387,0.885531,1.987266,0.457542,0.00049,31.96
51,0.143549,0.887491,1.862144,0.438866,0.00049,31.97
52,0.141949,0.889153,0.567724,0.665211,0.00049,31.94
53,0.141047,0.890048,1.130033,0.531584,0.00049,31.91
54,0.139762,0.891226,0.843261,0.554066,0.00049,31.97
55,0.139885,0.891296,2.119609,0.446466,0.00049,31.99
56,0.14083,0.890244,0.699881,0.594085,0.00049,31.91
57,0.137039,0.893854,1.531956,0.470914,0.00049,31.95
58,0.137921,0.893571,0.642005,0.654857,0.00049,31.91
59,0.136585,0.89449,0.555218,0.650851,0.00049,31.97
60,0.136105,0.895487,0.583116,0.681656,0.000343,31.92
61,0.128303,0.903333,0.529289,0.667957,0.000343,31.96
62,0.123604,0.907903,0.614172,0.632073,0.000343,31.91
63,0.122278,0.909038,1.573938,0.468902,0.000343,31.94
64,0.121519,0.909819,0.791131,0.59652,0.000343,31.91
65,0.121142,0.91089,0.639579,0.624427,0.000343,31.97
66,0.120556,0.911191,0.636749,0.638357,0.000343,31.92
67,0.119464,0.91216,1.455408,0.486028,0.000343,31.93
68,0.119167,0.912492,0.602737,0.654882,0.000343,31.94
69,0.119333,0.912504,0.586126,0.651308,0.000343,31.95
70,0.119183,0.912478,1.631139,0.479025,0.000343,31.94
71,0.11741,0.914449,1.115058,0.535874,0.000343,31.93
72,0.116717,0.915181,0.950604,0.596995,0.000343,31.93
73,0.116865,0.914975,1.326811,0.492781,0.000343,31.93
74,0.116418,0.915295,1.57384,0.492887,0.000343,31.96
75,0.115528,0.916248,0.740212,0.657881,0.000343,31.97
76,0.11575,0.916169,0.802318,0.580634,0.000343,31.98
77,0.11439,0.917587,1.21957,0.509717,0.000343,33.75
78,0.114938,0.916994,0.923812,0.542254,0.000343,31.95
79,0.114448,0.917522,0.516317,0.722558,0.000343,31.97
80,0.113987,0.917657,2.128536,0.4861,0.0002401,31.94
81,0.109153,0.923003,0.865838,0.573817,0.0002401,31.97
82,0.104828,0.927575,0.883449,0.579285,0.0002401,31.95
83,0.103606,0.928738,0.980448,0.544627,0.0002401,31.92
84,0.103013,0.929302,0.726846,0.624293,0.0002401,31.94
85,0.103022,0.929072,1.106283,0.544244,0.0002401,31.94
86,0.102923,0.929539,0.621577,0.652076,0.0002401,31.97
87,0.102177,0.930078,0.751059,0.599124,0.0002401,31.92
88,0.102105,0.930221,0.58588,0.705466,0.0002401,31.96
89,0.100883,0.931539,1.498848,0.509408,0.0002401,31.91
90,0.100062,0.932483,0.713457,0.705852,0.0002401,31.96
91,0.10119,0.931319,0.732769,0.617926,0.0002401,31.97
92,0.100603,0.931756,0.758435,0.604488,0.0002401,31.95
93,0.10027,0.932465,0.66888,0.710527,0.0002401,31.96
