epoca,train_loss,train_acc,val_loss,val_acc,lr,tiempo_s
1,2.21281,0.424427,1.279791,0.636179,0.001,66.88
2,1.430863,0.610114,1.094381,0.696138,0.001,56.76
3,1.147773,0.675471,0.899262,0.732724,0.001,56.74
4,1.042201,0.702449,0.787205,0.767276,0.001,57.01
5,0.926651,0.729202,0.731118,0.788618,0.001,56.23
6,0.878029,0.744102,0.672572,0.801829,0.001,57.95
7,0.781336,0.767129,0.681395,0.792683,0.001,56.8
8,0.734072,0.783497,0.744372,0.796748,0.001,58.29
9,0.693333,0.797155,0.632457,0.813008,0.001,58.74
10,0.604086,0.814765,0.638131,0.815041,0.001,58.72
11,0.586309,0.822328,0.564195,0.839431,0.001,58.66
12,0.54583,0.835309,0.528667,0.855691,0.001,58.63
13,0.499351,0.847951,0.569775,0.840447,0.001,58.89
14,0.467207,0.858562,0.588855,0.827236,0.001,58.81
15,0.440427,0.86398,0.496437,0.85874,0.001,58.73
16,0.411132,0.873801,0.520423,0.867886,0.001,58.81
17,0.380854,0.884863,0.56315,0.844512,0.001,58.95
18,0.359167,0.887346,0.542807,0.857724,0.001,58.74
19,0.337101,0.891974,0.567462,0.84248,0.001,58.67
20,0.323739,0.901569,0.622394,0.837398,0.0007,58.83
21,0.222591,0.927644,0.516434,0.854675,0.0007,60.1
22,0.215355,0.930015,0.518667,0.857724,0.0007,58.95
23,0.195583,0.938368,0.5501,0.855691,0.0007,58.75
24,0.190649,0.938706,0.538118,0.863821,0.0007,58.62
25,0.190687,0.939835,0.536482,0.859756,0.0007,58.65
26,0.176663,0.943447,0.671676,0.841463,0.0007,58.83
27,0.184157,0.939045,0.544073,0.857724,0.0007,58.7
28,0.149099,0.952816,0.591997,0.854675,0.0007,58.68
29,0.15177,0.9518,0.586729,0.857724,0.0007,58.65
30,0.164607,0.949204,0.626746,0.845528,0.0007,58.99
31,0.14632,0.953494,0.588782,0.863821,0.0007,58.61
32,0.148172,0.952591,0.603745,0.856707,0.0007,58.43
33,0.135867,0.955977,0.589514,0.867886,0.0007,58.74
34,0.133185,0.958122,0.684285,0.846545,0.0007,58.66
35,0.133282,0.958235,0.649759,0.860772,0.0007,59.3
36,0.122903,0.960831,0.643073,0.853659,0.0007,59.32
