epoca,train_loss,train_iou,val_loss,val_iou,lr,tiempo_s
1,0.377764,0.012581,0.526856,0.006756,0.001,231.18
2,0.350943,0.009819,0.737517,0.005648,0.001,278.54
3,0.343518,0.011542,0.376546,0.01515,0.001,267.09
4,0.337777,0.013185,0.657785,0.007034,0.001,268.29
5,0.332198,0.01533,0.712702,0.009936,0.001,271.42
6,0.327305,0.018459,0.394882,0.017759,0.001,212.98
7,0.324469,0.022165,0.895687,0.012911,0.001,204.77
8,0.31918,0.029167,1.020757,0.018393,0.001,288.59
9,0.306107,0.256032,1.065565,0.230877,0.001,290.65
10,0.281449,0.54888,0.806857,0.197755,0.001,287.42
11,0.273507,0.559945,1.046442,0.12714,0.001,286.57
12,0.265299,0.572137,0.911648,0.23362,0.001,280.46
13,0.259311,0.582213,0.999822,0.136905,0.001,287.77
14,0.25275,0.591092,1.283556,0.120971,0.001,281.11
15,0.24895,0.598164,0.984582,0.133592,0.001,289.15
16,0.242755,0.607402,1.480057,0.23562,0.001,292.19
17,0.239054,0.614005,1.268889,0.075061,0.001,290.41
18,0.233488,0.621235,0.94078,0.189948,0.001,292.45
19,0.230455,0.626388,1.018356,0.179819,0.001,289.11
20,0.225499,0.634743,0.871748,0.089093,0.0007,293.56
21,0.213462,0.652837,0.871766,0.130307,0.0007,298.34
22,0.207561,0.661874,1.494979,0.224556,0.0007,292.08
23,0.203859,0.668932,0.633191,0.344198,0.0007,294.7
24,0.201173,0.673683,0.800466,0.233707,0.0007,288.83
25,0.197622,0.679069,1.003443,0.17456,0.0007,284.9
26,0.195583,0.682623,0.618018,0.280298,0.0007,290.56
27,0.195549,0.683183,0.689925,0.234846,0.0007,286.97
28,0.189649,0.692031,1.979393,0.242504,0.0007,301.24
29,0.188101,0.694547,0.605528,0.273989,0.0007,290.6
30,0.184222,0.701558,1.433631,0.192549,0.0007,277.33
31,0.182557,0.703551,0.903918,0.153723,0.0007,279.57
32,0.181981,0.70559,1.255711,0.245283,0.0007,272.62
33,0.178753,0.710679,1.409791,0.238975,0.0007,266.51
34,0.176285,0.715268,0.706048,0.324755,0.0007,281.71
35,0.173631,0.719882,1.128016,0.210611,0.0007,283.31
36,0.173917,0.719778,1.103272,0.187033,0.0007,281.28
37,0.17339,0.720903,1.310213,0.187114,0.0007,273.34
38,0.169633,0.726632,1.023245,0.223443,0.0007,276.42
