epoca,train_loss,train_acc,val_loss,val_acc,lr,tiempo_s
1,1.843691,0.511457,1.12238,0.684959,0.001,26.83
2,1.132935,0.678971,0.851635,0.740854,0.001,10.6
3,0.879104,0.743763,0.739756,0.778455,0.001,10.31
4,0.78824,0.766904,0.654682,0.819106,0.001,10.58
5,0.647268,0.804041,0.596301,0.827236,0.001,10.73
6,0.602252,0.818603,0.641145,0.804878,0.001,10.59
7,0.555862,0.827181,0.582741,0.825203,0.001,10.58
8,0.475705,0.851338,0.599221,0.824187,0.001,10.49
9,0.457982,0.858449,0.599112,0.839431,0.001,10.62
10,0.401249,0.873236,0.634419,0.827236,0.001,10.8
11,0.395486,0.877413,0.583265,0.838415,0.001,10.5
12,0.36849,0.882944,0.53343,0.841463,0.001,10.56
13,0.324043,0.898296,0.592761,0.851626,0.001,10.75
14,0.327092,0.897505,0.595507,0.832317,0.001,10.6
15,0.291489,0.90473,0.530644,0.856707,0.001,10.49
16,0.251156,0.921662,0.583141,0.851626,0.001,10.66
17,0.275067,0.912293,0.654683,0.829268,0.001,10.73
18,0.237957,0.924145,0.636614,0.853659,0.001,10.55
19,0.230121,0.928886,0.622916,0.843496,0.001,10.49
20,0.204832,0.936449,0.64503,0.853659,0.0007,10.83
21,0.143027,0.953494,0.58067,0.864837,0.0007,10.71
22,0.114295,0.962524,0.598322,0.863821,0.0007,10.35
23,0.127171,0.959589,0.629845,0.852642,0.0007,10.55
24,0.096102,0.970313,0.648844,0.860772,0.0007,10.74
25,0.128775,0.961169,0.652791,0.855691,0.0007,10.71
26,0.120801,0.960718,0.653506,0.852642,0.0007,10.54
27,0.11908,0.961734,0.724788,0.849593,0.0007,11.62
28,0.100708,0.968168,0.743755,0.84248,0.0007,12.51
29,0.098588,0.970538,0.662658,0.857724,0.0007,11.99
30,0.093155,0.971441,0.663996,0.859756,0.0007,12.23
31,0.086433,0.97336,0.70998,0.845528,0.0007,12.27
32,0.110936,0.966926,0.686357,0.863821,0.0007,12.49
33,0.089376,0.971441,0.707843,0.845528,0.0007,12.64
34,0.082355,0.974941,0.757398,0.84248,0.0007,12.5
35,0.097464,0.973248,0.701732,0.849593,0.0007,12.23
36,0.06687,0.980246,0.722992,0.860772,0.0007,12.24
37,0.089948,0.96941,0.697196,0.855691,0.0007,12.64
38,0.093677,0.970651,0.765108,0.847561,0.0007,12.53
39,0.069411,0.979456,0.772678,0.847561,0.0007,11.99
40,0.074456,0.976634,0.778519,0.84248,0.00049,12.57
41,0.060026,0.982278,0.673237,0.857724,0.00049,12.54
