archivo_npz,archivo_npz_sha256,bytes_binarios_por_nodo,carga_binaria_nodos_sin_comprimir_bytes,carga_binaria_sin_comprimir_bytes,categoria,densa_carga_sin_comprimir_bytes,densa_tamano_npz_comprimido_bytes,equivalencia,memoria_estructura_python_bytes,memoria_pico_construccion_bytes,model_id,n_hojas_ocupadas,n_nodos_totales,nodos_por_nivel,porcentaje_ocupacion_hoja,profundidad_max,resolucion,semilla_muestreo,split,tamano_npz_bytes,tiempo_construccion_ms,tiempo_guardado_ms
octrees_32/chair/train/chair_0001.npz,611f2034d4a412c7a0ab847cb2cdaccf3f67050749b8796a307c0b83753b7249,18,20052,20541,chair,524288,9151,True,532884,986052,chair_0001,757,1114,1|8|31|80|237|757,2.3101806640625,5,32,3315880350,train,12286,84.16439999928116,4.537499997240957
octrees_64/chair/train/chair_0001.npz,86e4cb42cdccb7a572b3a8438cd5018c6ae7d4775b35e44cb5843879289fbc8e,18,66600,67089,chair,4194304,30218,True,1765568,2191782,chair_0001,2586,3700,1|8|31|80|237|757|2586,0.986480712890625,6,64,3315880350,train,25973,264.4836999970721,6.875500002934132
octrees_32/airplane/train/airplane_0001.npz,dbe2e15982a9eb956c727e518724645f8cd12b398105aa739a645c02ac5238bf,18,18306,18819,airplane,524288,11845,True,495848,961876,airplane_0001,750,1017,1|8|18|48|192|750,2.288818359375,5,32,1648206280,train,14874,71.99119999859249,3.942400002415525
octrees_64/airplane/train/airplane_0001.npz,79a3354bca7a12835a3d5c31822480cc4f6d89a05a087751aeb12c385afa3254,18,69804,70317,airplane,4194304,46458,True,1872568,2147254,airplane_0001,2861,3878,1|8|18|48|192|750|2861,1.0913848876953125,6,64,1648206280,train,43391,262.18039999730536,7.46409999919706
octrees_32/car/train/car_0001.npz,f5e9e9190cd929391201690797e7654baa70f903c53e5e65f90a8430453a7742,18,28242,28715,car,524288,15530,True,767776,1014603,car_0001,1205,1569,1|8|16|70|269|1205,3.6773681640625,5,32,620838927,train,20299,106.89869999987422,4.853099999309052
octrees_64/car/train/car_0001.npz,cd4ed68a5b314a2d66be44ac4e1a2d8103988d5b2f412f3bc3c4cf3239f467f6,18,126558,127031,car,4194304,58388,True,3429676,3650312,car_0001,5462,7031,1|8|16|70|269|1205|5462,2.083587646484375,6,64,620838927,train,54937,455.86030000049504,10.064000001875684
octrees_32/airplane/test/airplane_0627.npz,b8bda6d85db0c6596e523267f4909279804f32cce8da9e4f862b4291ec8becb0,18,12150,12659,airplane,524288,8852,True,330320,960852,airplane_0627,491,675,1|8|20|43|112|491,1.4984130859375,5,32,1758682406,test,11474,50.43650000152411,3.562699999747565
octrees_64/airplane/test/airplane_0627.npz,8410821490eb0a25c10ab21c8d46efecb010fd9b58d08282cbf955e6901f026a,18,49464,49973,airplane,4194304,37648,True,1335612,1722755,airplane_0627,2073,2748,1|8|20|43|112|491|2073,0.7907867431640625,6,64,1758682406,test,35131,180.72350000147708,5.837599997903453
octrees_32/sofa/train/sofa_0001.npz,edeffb42ce57c7a319915d84a29a39a198df64e642f276b996279060ce8e8722,18,50040,50521,sofa,524288,18497,True,1357376,1650204,sofa_0001,2147,2780,1|8|24|106|494|2147,6.5521240234375,5,32,1868629855,train,24417,189.261900002748,5.508099999133265
octrees_64/sofa/train/sofa_0001.npz,85c98869afa0bc8b255ccf4b3a3f7a9132317976af4a6bbc491535050314ec0d,18,192042,192523,sofa,4194304,59701,True,5141900,5436007,sofa_0001,7889,10669,1|8|24|106|494|2147|7889,3.0094146728515625,6,64,1868629855,train,52643,725.7908999999927,14.654299997346243
octrees_32/chair/test/chair_0890.npz,ed8246a8256d3cd48afa89cf93946ecfe4f41fb04dfc5390f572e265b290df40,18,20358,20843,chair,524288,12635,True,543668,960852,chair_0890,786,1131,1|8|32|73|231|786,2.398681640625,5,32,4252151102,test,16335,86.97310000206926,4.010200002085185
octrees_64/chair/test/chair_0890.npz,62cb85241fa2107eac6653a1ba9526c312882a08d182e755d4977ce57b9b6ed8,18,72090,72575,chair,4194304,46364,True,1921820,2246746,chair_0890,2874,4005,1|8|32|73|231|786|2874,1.096343994140625,6,64,4252151102,test,44813,277.3827999990317,7.805600002029678
