epoca,train_loss,train_acc,val_loss,val_acc,lr,tiempo_s
1,1.248216,0.674193,0.872643,0.75533,0.0001,242.47
2,0.598306,0.826033,0.758357,0.792893,0.0001,227.37
3,0.381173,0.882479,0.674204,0.833503,0.0001,228.58
4,0.255341,0.917589,0.731292,0.808122,0.0001,228.14
5,0.207741,0.93441,0.704622,0.813198,0.0001,228.02
6,0.168353,0.94807,0.676572,0.822335,0.0001,228.29
7,0.145172,0.955295,0.853669,0.826396,0.0001,229.07
8,0.131939,0.960601,0.796408,0.82132,0.0001,228.29
9,0.11728,0.963762,0.862785,0.836548,0.0001,229.59
10,0.107634,0.966471,0.792914,0.811168,0.0001,229.01
11,0.101748,0.968051,1.019567,0.824365,0.0001,231.79
12,0.09177,0.970761,1.08656,0.831472,0.0001,230.79
13,0.095585,0.970422,0.700426,0.819289,0.0001,231.42
14,0.083156,0.974825,0.999219,0.822335,0.0001,231.56
15,0.088663,0.971551,0.863294,0.831472,0.0001,230.42
16,0.077044,0.975051,0.950954,0.826396,0.0001,232.79
17,0.07482,0.977083,0.861576,0.822335,0.0001,233.17
18,0.075048,0.976067,1.043458,0.825381,0.0001,233.28
19,0.073422,0.976631,0.944845,0.830457,0.0001,232.9
20,0.07033,0.978776,0.790678,0.819289,7e-05,232.18
21,0.046648,0.98555,1.201864,0.826396,7e-05,232.95
22,0.041349,0.986792,1.263127,0.822335,7e-05,230.45
23,0.04471,0.986453,0.852231,0.834518,7e-05,230.15
24,0.038317,0.988937,0.921882,0.831472,7e-05,229.94
25,0.043995,0.986001,1.040523,0.847716,7e-05,230.86
26,0.041893,0.987808,0.95917,0.831472,7e-05,229.06
27,0.04378,0.986001,0.891912,0.827411,7e-05,229.68
28,0.042552,0.985324,1.05514,0.84264,7e-05,229.8
29,0.038245,0.988146,1.034298,0.837563,7e-05,229.82
30,0.037799,0.98984,0.96357,0.841624,7e-05,229.01
31,0.037837,0.987808,0.928653,0.846701,7e-05,231.71
32,0.040833,0.988259,0.8867,0.841624,7e-05,234.32
33,0.040447,0.98713,0.936466,0.836548,7e-05,232.01
34,0.035821,0.990065,0.916917,0.820305,7e-05,232.36
35,0.039293,0.987808,1.034383,0.82335,7e-05,230.95
36,0.036705,0.988033,0.929567,0.830457,7e-05,233.04
37,0.038943,0.988711,1.071386,0.832487,7e-05,224.72
38,0.032329,0.98984,1.244047,0.82132,7e-05,227.17
39,0.040389,0.987695,0.952865,0.845685,7e-05,235.49
40,0.035899,0.989727,1.023209,0.834518,4.9e-05,235.31
41,0.027956,0.990856,0.939164,0.840609,4.9e-05,247.2
42,0.023258,0.993339,1.087412,0.834518,4.9e-05,227.73
43,0.025061,0.992549,1.101568,0.841624,4.9e-05,237.22
44,0.019865,0.993114,1.098374,0.832487,4.9e-05,240.09
45,0.025012,0.992323,1.032007,0.841624,4.9e-05,208.49
